006,國立政治大學,東南亞語文學系越文組,東南亞語言與文化學士學位學程越文組,
006,國立政治大學,東南亞語文學系泰文組,東南亞語言與文化學士學位學程泰文組,
006,國立政治大學,東南亞語文學系印尼文組,"東南亞語言與文化學士學位學程印尼文
組",
009,東海大學,應用物理學系(A組),應用物理學系,
009,東海大學,應用物理學系(B組),--,
009,東海大學,智慧計算暨應用數學系,應用數學系,
009,東海大學,電機工程學系(A組),電機工程學系,
009,東海大學,電機工程學系(B組),--,
009,東海大學,經濟學系,經濟學系一般經濟組,
009,東海大學,--,經濟學系產業經濟組,
009,東海大學,政治學系,政治學系政治理論組,
009,東海大學,--,政治學系國際關係組,
009,東海大學,食品科學系,食品科學系(A組),
009,東海大學,--,食品科學系(B組),
013,國立陽明交通大學,半導體工程學系固態電子組,"奈米科學及工程學士學位學程甲組(主修
半導體)",
013,國立陽明交通大學,半導體工程學系奈米科學組,"奈米科學及工程學士學位學程乙組(主修
奈米)",
013,國立陽明交通大學,材料科學與工程學系-伊利諾雙聯組,材料科學與工程學系甲組,
013,國立陽明交通大學,材料科學與工程學系,材料科學與工程學系乙組,
013,國立陽明交通大學,"土木工程學系(科技暨基礎建設永續發
展組)",土木工程學系,
014,淡江大學,應用數學與數據科學學系,數學學系數學組,
014,淡江大學,--,數學學系資料科學與數理統計組,
014,淡江大學,化學學系,化學學系化學與生物化學組,
014,淡江大學,--,化學學系材料化學組,
014,淡江大學,物理學系(量子材料組),物理學系光電物理組,
014,淡江大學,物理學系(天文與基礎物理組),物理學系應用物理組,
014,淡江大學,機械與機電工程學系,機械與機電工程學系光機電整合組,
014,淡江大學,--,機械與機電工程學系精密機械組,
014,淡江大學,水資源及環境工程學系,水資源及環境工程學系水資源工程組,
014,淡江大學,--,水資源及環境工程學系環境工程組,
017,中國文化大學,法律學系,法律學系法學組,
017,中國文化大學,--,法律學系財經法律組,
017,中國文化大學,--,法律學系企業金融法制組,
017,中國文化大學,資訊管理學系(人工智慧組),資訊管理學系(雲端服務暨巨量資料組),
018,靜宜大學,財務工程學系(智慧金融組),財務工程學系,
018,靜宜大學,財務工程學系(數位金融組),--,
